,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
34,73,09/10/2005,2005,1, Minnesota, Colorado State,56,24, Minnesota,32,13,0,3,0,-2.0,-10.0,-172.0,-4.0,-34.0,34.0,296.0,302.0,1.0,0.0,-18.0
35,74,09/10/2005,2005,1, BYU, Eastern Illinois,45,10, BYU,35,6,0,4,0,0.0,12.0,129.0,-1.0,-36.0,2.0,106.0,440.0,0.0,1.0,12.0
36,77,09/10/2005,2005,1, Michigan State, Hawai'i,42,14, Michigan State,28,4,-2,2,0,0.0,-4.0,65.0,-5.0,-54.0,13.0,75.0,-124.0,-1.0,-1.0,-17.0
37,79,09/10/2005,2005,1, UNLV, Idaho,34,31, UNLV,3,7,1,0,1,-1.0,3.0,-140.0,0.0,-4.0,11.0,93.0,336.0,0.0,0.0,3.0
38,80,09/10/2005,2005,1, Iowa State, Iowa,23,3, Iowa State,20,3,0,1,-1,-3.0,-1.0,-20.0,-3.0,-18.0,23.0,-4.0,770.0,-2.0,-1.0,-18.0
39,81,09/10/2005,2005,1, Marshall, Kansas State,19,21, Kansas State,-2,-1,-4,-7,2,1.0,12.0,136.0,-5.0,-65.0,-20.0,-134.0,-384.0,3.0,1.0,19.0
40,83,09/10/2005,2005,1, Arizona State, LSU,31,35, LSU,-4,-7,2,3,-2,-1.0,18.0,217.0,-5.0,-69.0,-22.0,-91.0,-282.0,-1.0,0.0,26.0
41,85,09/10/2005,2005,1, Auburn, Mississippi State,28,0, Auburn,28,2,0,2,0,-1.0,0.0,76.0,-7.0,-30.0,3.0,37.0,-146.0,-1.0,-1.0,-3.0
42,88,09/10/2005,2005,1, Colorado, New Mexico State,39,0, Colorado,39,13,2,7,0,1.0,5.0,57.0,1.0,21.0,28.0,233.0,1228.0,-2.0,-2.0,2.0
43,89,09/10/2005,2005,1, Missouri, New Mexico,35,45, New Mexico,-10,0,7,6,0,1.0,17.0,19.0,-5.0,-56.0,5.0,40.0,102.0,2.0,2.0,28.0
44,92,09/10/2005,2005,1, Wyoming, Louisiana-Monroe,38,0, Wyoming,38,4,-1,6,-1,0.0,2.0,128.0,-5.0,-59.0,13.0,116.0,176.0,-3.0,1.0,-8.0
45,97,09/10/2005,2005,1, Houston, Sam Houston State,31,10, Houston,21,14,6,9,1,2.0,1.0,27.0,1.0,36.0,35.0,157.0,504.0,2.0,0.0,-8.0
46,98,09/10/2005,2005,1, Baylor, Samford,48,14, Baylor,34,6,-3,-3,1,0.0,-4.0,-11.0,6.0,80.0,8.0,82.0,-54.0,0.0,-2.0,-17.0
47,102,09/10/2005,2005,1, Kent State, Southeast Missouri State,33,12, Kent State,21,-3,-6,-4,0,1.0,-15.0,-104.0,-2.0,-54.0,-9.0,4.0,-796.0,1.0,-2.0,-19.0
48,105,09/10/2005,2005,1, Navy, Stanford,38,41, Stanford,-3,2,7,5,2,-1.0,-6.0,13.0,0.0,-10.0,19.0,29.0,266.0,3.0,2.0,-4.0
49,111,09/10/2005,2005,1, Boston College, Army,44,7, Boston College,37,4,-1,1,3,-1.0,5.0,135.0,-2.0,-13.0,6.0,79.0,32.0,2.0,-2.0,-4.0
50,114,09/10/2005,2005,1, Rutgers, Villanova,38,6, Rutgers,32,0,-6,-1,0,-1.0,-14.0,-83.0,-2.0,-10.0,2.0,11.0,-368.0,-6.0,0.0,-26.0
51,115,09/10/2005,2005,1, Duke, Virginia Tech,0,45, Virginia Tech,-45,-4,3,-1,-1,0.0,-8.0,-160.0,4.0,18.0,-9.0,-167.0,-20.0,0.0,0.0,-4.0
52,117,09/10/2005,2005,1, Fresno State, Weber State,55,17, Fresno State,38,4,-8,-2,0,0.0,-7.0,-61.0,4.0,49.0,-5.0,80.0,-352.0,-1.0,-1.0,-20.0
53,119,09/10/2005,2005,1, West Virginia, Wofford,35,7, West Virginia,28,8,5,5,1,-2.0,6.0,96.0,2.0,12.0,19.0,261.0,334.0,3.0,-2.0,6.0
54,120,09/15/2005,2005,1, TCU, Utah,23,20, TCU,3,5,-9,-4,-2,0.0,-7.0,-120.0,-1.0,-10.0,-4.0,119.0,-568.0,-2.0,-1.0,-14.0
55,122,09/17/2005,2005,1, Middle Tennessee, Akron,7,17, Akron,-10,-3,5,1,0,1.0,0.0,-162.0,2.0,51.0,-16.0,-48.0,-708.0,-1.0,-3.0,-3.0
56,126,09/17/2005,2005,1, Auburn, Ball State,63,3, Auburn,60,6,-5,4,-1,0.0,3.0,55.0,4.0,35.0,6.0,297.0,-264.0,-1.0,-1.0,-4.0
57,127,09/17/2005,2005,1, Army, Baylor,10,20, Baylor,-10,-4,4,3,-1,-1.0,-1.0,23.0,-2.0,-33.0,3.0,-90.0,130.0,0.0,0.0,7.0
58,133,09/17/2005,2005,1, Wake Forest, East Carolina,44,34, Wake Forest,10,13,3,5,0,0.0,-10.0,-223.0,0.0,18.0,39.0,289.0,600.0,-1.0,1.0,-28.0
59,134,09/17/2005,2005,1, North Carolina State, Eastern Kentucky,54,10, North Carolina State,44,5,-3,1,1,0.0,8.0,106.0,0.0,18.0,11.0,141.0,196.0,1.0,-1.0,-9.0
60,136,09/17/2005,2005,1, Minnesota, Florida Atlantic,46,7, Minnesota,39,14,-7,0,-1,1.0,-3.0,76.0,-7.0,-64.0,9.0,257.0,-252.0,-1.0,-1.0,-9.0
61,137,09/17/2005,2005,1, Boston College, Florida State,17,28, Florida State,-11,5,5,3,0,-2.0,7.0,9.0,2.0,12.0,29.0,127.0,914.0,1.0,1.0,4.0
62,150,09/17/2005,2005,1, Nevada, UNLV,22,14, Nevada,8,0,3,4,-2,0.0,14.0,207.0,-2.0,10.0,15.0,-74.0,738.0,-3.0,-1.0,7.0
63,152,09/17/2005,2005,1, Georgia, Louisiana-Monroe,44,7, Georgia,37,5,-8,-4,-1,-1.0,-2.0,140.0,1.0,44.0,-9.0,192.0,-818.0,-1.0,-1.0,-10.0
64,153,09/17/2005,2005,1, Iowa, Northern Iowa,45,21, Iowa,24,4,-3,-2,0,-1.0,-1.0,2.0,-2.0,-17.0,-2.0,126.0,-454.0,1.0,-1.0,-6.0
65,154,09/17/2005,2005,1, Louisiana-Lafayette, Northwestern State,49,28, Louisiana-Lafayette,21,-2,-2,0,-1,-4.0,3.0,38.0,-11.0,-69.0,-6.0,78.0,-18.0,-2.0,1.0,0.0
66,155,09/17/2005,2005,1, Arizona State, Northwestern,52,21, Arizona State,31,1,2,5,2,0.0,2.0,247.0,11.0,94.0,13.0,110.0,694.0,0.0,0.0,1.0
67,166,09/17/2005,2005,1, Texas A&M, SMU,66,8, Texas A&M,58,12,-9,-3,0,-1.0,-5.0,96.0,-2.0,-19.0,18.0,270.0,-172.0,-2.0,-2.0,-18.0
68,167,09/17/2005,2005,1, Northern Illinois, Tennessee Tech,42,3, Northern Illinois,39,10,-6,1,-1,-1.0,-3.0,134.0,10.0,106.0,8.0,252.0,-402.0,-2.0,1.0,-8.0
69,168,09/17/2005,2005,1, Memphis, Chattanooga,59,14, Memphis,45,11,4,6,1,-1.0,6.0,89.0,1.0,7.0,11.0,171.0,-6.0,0.0,-2.0,2.0
70,169,09/17/2005,2005,1, Florida, Tennessee,16,7, Florida,9,-1,5,5,0,-1.0,1.0,32.0,6.0,43.0,12.0,2.0,540.0,-1.0,0.0,-9.0
71,170,09/17/2005,2005,1, Temple, Toledo,17,42, Toledo,-25,-5,5,3,-1,1.0,-5.0,48.0,-2.0,-41.0,1.0,-60.0,-130.0,0.0,1.0,6.0
72,171,09/17/2005,2005,1, Missouri, Troy,52,21, Missouri,31,6,4,4,1,-1.0,4.0,-49.0,2.0,30.0,19.0,229.0,286.0,0.0,0.0,-5.0
73,174,09/17/2005,2005,1, Syracuse, Virginia,24,27, Virginia,-3,-7,-2,-5,0,0.0,1.0,27.0,-5.0,-45.0,-8.0,-191.0,-86.0,0.0,-3.0,0.0
74,177,09/17/2005,2005,1, North Carolina, Wisconsin,5,14, Wisconsin,-9,-10,-1,-3,-1,-1.0,2.0,143.0,4.0,41.0,-27.0,-109.0,-688.0,-1.0,1.0,14.0
75,178,09/17/2005,2005,1, Air Force, Wyoming,28,29, Wyoming,-1,13,-2,-1,2,0.0,-15.0,-214.0,4.0,10.0,30.0,218.0,242.0,2.0,2.0,-17.0
76,179,09/21/2005,2005,1, Boise State, Bowling Green,48,20, Boise State,28,17,2,6,1,2.0,-1.0,-11.0,1.0,10.0,43.0,253.0,908.0,0.0,0.0,-10.0
77,180,09/22/2005,2005,1, Florida Atlantic, Louisiana-Monroe,21,28, Louisiana-Monroe,-7,0,3,0,0,-1.0,-5.0,-46.0,0.0,0.0,3.0,9.0,-18.0,1.0,1.0,0.0
78,184,09/23/2005,2005,1, Army, Iowa State,21,28, Iowa State,-7,7,3,2,1,0.0,1.0,75.0,3.0,-1.0,15.0,61.0,408.0,2.0,0.0,8.0
79,186,09/24/2005,2005,1, Alabama, Arkansas,24,13, Alabama,11,-1,-3,1,-2,-1.0,2.0,92.0,-2.0,0.0,-3.0,-109.0,136.0,-2.0,-1.0,0.0
80,187,09/24/2005,2005,1, Clemson, Boston College,13,16, Boston College,-3,-2,-9,-10,0,0.0,-5.0,-72.0,-9.0,-45.0,-17.0,-62.0,-684.0,0.0,-2.0,-16.0
81,189,09/24/2005,2005,1, Virginia, Duke,38,7, Virginia,31,2,0,4,-1,0.0,6.0,106.0,-2.0,-24.0,-4.0,3.0,-232.0,-1.0,-3.0,7.0
82,190,09/24/2005,2005,1, West Virginia, East Carolina,20,15, West Virginia,5,-3,0,6,-1,0.0,-6.0,-26.0,2.0,24.0,4.0,46.0,-226.0,0.0,2.0,-15.0
83,191,09/24/2005,2005,1, Central Michigan, Eastern Michigan,20,23, Eastern Michigan,-3,2,-1,0,-1,0.0,-18.0,-198.0,5.0,48.0,21.0,85.0,-102.0,2.0,0.0,-25.0
84,194,09/24/2005,2005,1, Virginia Tech, Georgia Tech,51,7, Virginia Tech,44,4,-3,0,-1,-1.0,0.0,80.0,-4.0,-40.0,19.0,23.0,110.0,1.0,-2.0,-10.0
85,195,09/24/2005,2005,1, Mississippi State, Georgia,10,23, Georgia,-13,2,0,0,-2,0.0,-2.0,-107.0,4.0,43.0,-8.0,-45.0,-644.0,-2.0,1.0,-4.0
86,198,09/24/2005,2005,1, Ohio State, Iowa,31,6, Ohio State,25,16,6,12,0,2.0,-8.0,70.0,6.0,69.0,42.0,323.0,1126.0,1.0,-1.0,-18.0
87,199,09/24/2005,2005,1, Ohio, Kent State,35,32, Ohio,3,10,1,2,-2,0.0,-17.0,-243.0,0.0,4.0,33.0,301.0,386.0,-2.0,-4.0,-31.0
88,201,09/24/2005,2005,1, UCF, Marshall,23,13, UCF,10,1,4,3,0,0.0,-14.0,-108.0,-6.0,-19.0,27.0,65.0,250.0,-2.0,-1.0,-32.0
89,202,09/24/2005,2005,1, Wake Forest, Maryland,12,22, Maryland,-10,-5,7,2,0,1.0,6.0,-36.0,1.0,5.0,-7.0,-51.0,-60.0,3.0,-1.0,13.0
90,203,09/24/2005,2005,1, Tulsa, Memphis,37,31, Tulsa,6,-8,5,5,0,-2.0,6.0,87.0,-6.0,-43.0,-1.0,-138.0,918.0,-1.0,1.0,-1.0
91,205,09/24/2005,2005,1, Wisconsin, Michigan,23,20, Wisconsin,3,5,3,2,0,-1.0,-1.0,-111.0,-3.0,-18.0,7.0,-3.0,542.0,-1.0,0.0,-2.0
92,207,09/24/2005,2005,1, Utah State, UNLV,31,24, Utah State,7,-3,1,2,0,0.0,-4.0,-43.0,6.0,86.0,4.0,-61.0,312.0,-1.0,-1.0,-14.0
93,208,09/24/2005,2005,1, Colorado State, Nevada,42,21, Colorado State,21,9,1,2,0,0.0,-8.0,-101.0,2.0,28.0,12.0,162.0,60.0,0.0,-2.0,-7.0
94,212,09/24/2005,2005,1, Washington, Notre Dame,17,36, Notre Dame,-19,-11,-3,-4,2,2.0,-6.0,81.0,-3.0,-35.0,-25.0,-192.0,-832.0,0.0,1.0,3.0
95,213,09/24/2005,2005,1, Northwestern, Penn State,29,34, Penn State,-5,3,11,6,0,0.0,3.0,-42.0,1.0,-15.0,30.0,-11.0,1198.0,0.0,-2.0,2.0
96,218,09/24/2005,2005,1, BYU, TCU,50,51, TCU,-1,1,-5,0,-1,1.0,6.0,169.0,-1.0,-26.0,2.0,-30.0,538.0,-1.0,2.0,1.0
97,219,09/24/2005,2005,1, South Carolina, Troy,45,20, South Carolina,25,-1,-6,-4,-1,-4.0,5.0,169.0,1.0,-4.0,1.0,-21.0,214.0,0.0,-1.0,-7.0
98,220,09/24/2005,2005,1, SMU, Tulane,10,31, Tulane,-21,-6,-6,-4,-2,2.0,-14.0,-149.0,1.0,20.0,-16.0,-81.0,-1272.0,0.0,-1.0,-16.0
99,221,09/24/2005,2005,1, Auburn, Western Kentucky,37,14, Auburn,23,5,-4,-2,0,1.0,1.0,13.0,4.0,30.0,8.0,54.0,268.0,-1.0,-2.0,0.0
100,222,09/24/2005,2005,1, Temple, Western Michigan,16,19, Western Michigan,-3,2,1,-1,-1,-1.0,-12.0,-69.0,2.0,46.0,2.0,-24.0,-58.0,-1.0,-1.0,-13.0
101,223,09/24/2005,2005,1, Mississippi, Wyoming,14,24, Wyoming,-10,-4,-4,-5,1,1.0,-5.0,-100.0,-3.0,-51.0,-15.0,-1.0,-842.0,2.0,2.0,-5.0
102,226,09/27/2005,2005,1, Fresno State, Toledo,44,14, Fresno State,30,-2,-7,-3,-2,-1.0,-7.0,-94.0,-7.0,-62.0,-16.0,38.0,-878.0,-3.0,-1.0,-7.0
103,228,09/29/2005,2005,1, Colorado State, Air Force,41,23, Colorado State,18,-2,-1,4,-1,-1.0,9.0,208.0,2.0,5.0,-2.0,-14.0,168.0,-1.0,1.0,9.0
104,230,10/01/2005,2005,1, California, Arizona,28,0, California,28,5,-3,0,1,1.0,-5.0,-32.0,-6.0,-21.0,16.0,157.0,492.0,0.0,-2.0,-15.0
105,231,10/01/2005,2005,1, Louisiana-Monroe, Arkansas State,31,27, Louisiana-Monroe,4,-4,-6,-8,1,-1.0,-6.0,-14.0,-7.0,-30.0,-17.0,-27.0,-516.0,1.0,-1.0,0.0
106,233,10/01/2005,2005,1, Texas A&M, Baylor,16,13, Texas A&M,3,-3,-3,-4,2,-2.0,-13.0,-90.0,6.0,42.0,-11.0,30.0,-560.0,0.0,2.0,-14.0
107,234,10/01/2005,2005,1, Hawai'i, Boise State,41,44, Boise State,-3,-11,-3,-2,-2,-3.0,12.0,235.0,-4.0,-41.0,-26.0,-109.0,-88.0,-2.0,1.0,22.0
108,235,10/01/2005,2005,1, San Diego State, BYU,31,10, San Diego State,21,8,4,9,-1,0.0,-4.0,-18.0,-3.0,-25.0,36.0,221.0,626.0,-1.0,-2.0,-18.0
